principal component 1,principal component 2,principal component 3,targets
28.287970580516056,38.992534520264975,1.154065265227745,muffin
18.43448344086337,-30.10582497200756,-9.834622694467587,muffin
-26.68390454326012,0.6358882095943816,-0.41993504403027615,chihuahua
23.342785267715044,-8.12353768829153,16.95615071276445,muffin
24.873964848422467,-18.537731356788694,-13.794499476878437,muffin
17.49308903387587,-13.806748402374406,1.534025841035541,muffin
-20.70917797942732,-0.5213417962456369,4.388016449098794,chihuahua
29.456831603951244,4.76280939854618,36.87413491605496,muffin
-25.263269060544342,0.8128166067515821,1.753596087830731,chihuahua
-25.5414702915854,1.244988219361078,2.18538431895072,chihuahua
-22.259824091920763,0.40435598476295626,0.5466809458830625,chihuahua
-20.44200943451126,1.8799710791720863,-1.7258454560641983,chihuahua
17.89088980358164,21.023351904246166,-30.378883207514313,muffin
-19.069597878941472,1.859792822100327,2.4198466111102435,chihuahua
-14.65371047246343,0.7818886076475139,3.311997206562156,chihuahua
14.842949173728474,-1.303213136739391,-14.970112475563601,muffin
